D:/OneDrive/bangumi/How I Met Your Mother
S01
1	Pilot	Mon Sep 19, 2005
2	Purple Giraffe	Mon Sep 26, 2005
3	Sweet Taste of Liberty	Mon Oct 03, 2005
4	Return of the Shirt	Mon Oct 10, 2005
5	Okay Awesome	Mon Oct 17, 2005
6	The Slutty Pumpkin	Mon Oct 24, 2005
7	Matchmaker	Mon Nov 07, 2005
8	The Duel	Mon Nov 14, 2005
9	Belly Full of Turkey	Mon Nov 21, 2005
10	The Pineapple Incident	Mon Nov 28, 2005
11	The Limo	Mon Dec 19, 2005
12	The Wedding	Mon Jan 09, 2006
13	Drumroll, Please	Mon Jan 23, 2006
14	Zip, Zip, Zip	Mon Feb 27, 2006
15	Game Night	Mon Feb 06, 2006
16	Cupcake	Mon Mar 06, 2006
17	Life Among the Gorillas	Mon Mar 20, 2006
18	Nothing Good Happens After 2 AM	Mon Apr 10, 2006
19	Mary the Paralegal	Mon Apr 24, 2006
20	Best Prom Ever	Mon May 01, 2006
21	Milk	Mon May 08, 2006
22	Come On	Mon May 15, 2006
S02
1	Where Were We	Mon Sep 18, 2006
2	The Scorpion and the Toad	Mon Sep 25, 2006
3	Brunch	Mon Oct 02, 2006
4	Ted Mosby, Architect	Mon Oct 09, 2006
5	World's Greatest Couple	Mon Oct 16, 2006
6	Aldrin Justice	Mon Oct 23, 2006
7	Swarley	Mon Nov 06, 2006
8	Atlantic City	Mon Nov 13, 2006
9	Slap Bet	Mon Nov 20, 2006
10	Single Stamina	Mon Nov 27, 2006
11	How Lily Stole Christmas	Mon Dec 11, 2006
12	First Time in New York	Mon Jan 08, 2007
13	Columns	Mon Jan 22, 2007
14	Monday Night Football	Mon Feb 05, 2007
15	Lucky Penny	Mon Feb 12, 2007
16	Stuff	Mon Feb 19, 2007
17	Arrivederci, Fiero	Mon Feb 26, 2007
18	Moving Day	Mon Mar 19, 2007
19	Bachelor Party	Mon Apr 09, 2007
20	Showdown	Mon Apr 30, 2007
21	Something Borrowed	Mon May 07, 2007
22	Something Blue	Mon May 14, 2007
S03
1	Wait for It	Mon Sep 24, 2007
2	We're Not from Here	Mon Oct 01, 2007
3	Third Wheel	Mon Oct 08, 2007
4	Little Boys	Mon Oct 15, 2007
